,ts,label
0,34.44,0
1,34.01,0
2,34.73,0
3,34.87,0
4,35.82,0
5,33.84,0
6,35.17,0
7,33.58,0
8,35.22,0
9,32.45,0
10,34.95,0
11,34.24,0
12,34.24,0
13,34.02,0
14,35.22,0
15,35.03,0
16,34.52,0
17,33.28,0
18,34.69,0
19,34.17,0
20,34.63,0
21,34.6,0
22,34.76,0
23,32.84,0
24,32.52,0
25,33.43,0
26,34.96,0
27,32.4,0
28,33.22,0
29,32.02,0
30,34.81,0
31,32.82,0
32,34.79,0
33,30.7,0
34,31.32,0
35,31.31,0
36,31.26,0
37,31.08,0
38,31.58,0
39,30.77,0
40,32.28,0
41,33.01,0
42,32.71,0
43,32.3,0
44,32.36,0
45,30.57,0
46,30.55,0
47,29.68,0
48,30.27,0
49,31.04,0
50,32.52,0
51,31.05,0
52,33.99,0
53,33.93,0
54,31.95,0
55,32.95,0
56,31.98,0
57,33.76,0
58,31.43,0
59,33.45,0
60,30.5,0
61,31.63,0
62,30.52,0
63,33.68,0
64,30.01,0
65,32.5,0
66,30.98,0
67,32.61,0
68,30.94,0
69,33.36,0
70,32.45,0
71,33.73,0
72,30.01,0
73,31.45,0
74,30.52,0
75,32.51,0
76,30.48,0
77,32.49,0
78,30.26,0
79,31.55,0
80,30.87,0
81,33.24,0
82,29.66,0
83,31.78,0
84,30.97,0
85,30.74,0
86,31.36,0
87,33.01,0
88,30.21,0
89,29.16,0
90,28.93,0
91,29.83,0
92,29.19,0
93,30.06,0
94,29.01,0
95,29.84,0
96,29.11,0
97,29.81,0
98,30.01,0
99,29.66,0
100,30.41,0
101,31.5,0
102,30.69,0
103,33.24,0
104,31.27,0
105,31.81,0
106,30.73,0
107,31.99,0
108,31.94,0
109,30.42,0
110,29.78,0
111,31.29,0
112,29.62,0
113,30.62,0
114,28.74,0
115,31.87,0
116,29.23,0
117,29.43,0
118,30.59,0
119,29.43,0
120,30.08,0
121,32.41,0
122,30.26,0
123,33.07,0
124,30.77,0
125,33.0,0
126,30.41,0
127,32.36,0
128,31.76,0
129,32.53,0
130,32.15,0
131,31.79,0
132,34.58,0
133,32.05,0
134,30.24,0
135,30.19,0
136,31.0,0
137,31.0,0
138,30.29,0
139,31.41,0
140,29.69,0
141,31.41,0
142,30.8,0
143,32.45,0
144,31.66,0
145,30.54,0
146,32.01,0
147,32.94,0
148,32.12,0
149,31.86,0
150,31.25,0
151,32.72,0
152,29.56,0
153,31.08,0
154,31.14,0
155,32.91,0
156,29.93,0
157,33.95,0
158,33.13,0
159,31.22,0
160,31.94,0
161,30.9,0
162,32.11,0
163,30.55,0
164,30.84,0
165,29.8,0
166,31.08,0
167,30.46,0
168,30.09,0
169,31.11,0
170,31.9,0
171,31.0,0
172,29.63,0
173,30.34,0
174,29.32,0
175,31.67,0
176,30.22,0
177,31.64,0
