,ts,label
0,37,0
1,39,0
2,36,0
3,37,0
4,34,0
5,31,0
6,31,0
7,27,0
8,26,0
9,23,0
10,24,0
11,24,0
12,25,0
13,25,0
14,20,0
15,20,0
16,20,0
17,21,0
18,19,0
19,19,0
20,16,0
21,16,0
22,16,0
23,15,0
24,18,0
25,23,0
26,31,0
27,36,0
28,40,0
29,39,0
30,39,0
31,41,0
32,44,0
33,51,0
34,59,0
35,68,0
36,67,0
37,65,0
38,60,0
39,54,0
40,52,0
41,53,0
42,53,0
43,47,0
44,43,0
45,36,0
46,30,0
47,25,0
48,20,0
49,15,0
50,11,0
51,5,0
52,-3,0
53,-6,0
54,-9,0
55,-13,0
56,-13,0
57,-14,0
58,-9,0
59,-11,0
60,-10,0
61,-10,0
62,-5,0
63,2,0
64,12,0
65,28,0
66,38,0
67,56,0
68,86,0
69,146,0
70,221,0
71,322,0
72,409,0
73,482,0
74,525,0
75,513,0
76,469,0
77,385,0
78,314,0
79,255,0
80,208,0
81,153,0
82,88,0
83,35,0
84,-1,0
85,-24,0
86,-35,0
87,-42,0
88,-49,0
89,-57,0
90,-58,0
91,-61,0
92,-62,0
93,-60,0
94,-59,0
95,-59,0
96,-60,0
97,-60,0
98,-60,0
99,-57,0
100,-56,0
101,-55,0
102,-53,0
103,-52,0
104,-52,0
105,-51,0
106,-48,0
107,-46,0
108,-46,0
109,-42,0
110,-37,0
111,-35,0
112,-33,0
113,-33,0
114,-31,0
115,-27,0
116,-22,0
117,-15,0
118,-14,0
119,-9,0
120,-6,0
121,-2,0
122,6,0
123,14,0
124,20,0
125,27,0
126,36,0
127,39,0
128,45,0
129,51,0
130,56,0
131,60,0
132,65,0
133,73,0
134,73,0
135,77,0
136,78,0
137,79,0
138,76,0
139,76,0
140,80,0
141,72,0
142,71,0
143,66,0
144,62,0
145,55,0
146,48,0
147,44,0
148,39,0
149,36,0
150,31,0
151,31,0
152,29,0
153,28,0
154,25,0
155,21,0
156,22,0
157,20,0
158,22,0
159,21,0
160,23,0
161,20,0
162,19,0
163,19,0
164,17,0
165,20,0
166,23,0
167,26,0
168,26,0
169,28,0
170,27,0
171,24,0
172,24,0
173,24,0
174,28,0
175,31,0
176,37,0
177,41,0
178,46,0
179,46,0
180,47,0
181,47,0
182,48,0
183,50,0
184,56,0
185,63,0
186,67,0
187,71,0
188,67,0
189,62,0
190,59,0
191,57,0
192,60,0
193,52,0
194,49,0
195,42,0
196,39,0
197,34,0
198,29,0
199,28,0
200,23,0
201,19,0
202,12,0
203,8,0
204,4,0
205,1,0
206,0,0
207,-1,0
208,3,0
209,1,0
210,3,0
211,1,0
212,3,0
213,6,0
214,14,0
215,28,0
216,36,0
217,52,0
218,68,0
219,100,0
220,145,0
221,227,0
222,317,0
223,400,0
224,470,0
225,497,0
226,503,0
227,453,0
228,382,0
229,305,0
230,255,0
231,212,0
232,158,0
233,102,0
234,45,0
235,3,0
236,-24,0
237,-37,0
238,-45,0
239,-52,0
240,-58,0
241,-61,0
242,-64,0
243,-65,0
244,-69,0
245,-69,0
246,-70,0
247,-68,0
248,-66,0
249,-63,0
250,-60,0
251,-59,0
252,-59,0
253,-59,0
254,-57,0
255,-57,0
256,-55,0
257,-52,0
258,-49,0
259,-47,0
260,-47,0
261,-47,0
262,-48,0
263,-49,0
264,-47,0
265,-43,0
266,-36,0
267,-30,0
268,-29,0
269,-26,0
270,-24,0
271,-18,0
272,-12,0
273,-5,0
274,4,0
275,6,0
276,12,0
277,17,0
278,23,0
279,29,0
280,35,0
281,43,0
282,49,0
283,58,0
284,59,0
285,64,0
286,67,0
287,72,0
288,71,0
289,73,0
290,75,0
291,71,0
292,72,0
293,68,0
294,66,0
295,60,0
296,55,0
297,53,0
298,44,0
299,40,0
300,35,0
301,32,0
302,26,0
303,22,0
304,19,0
305,17,0
306,19,0
