,ts,label
0,6,0
1,1448,0
2,1601,0
3,1585,0
4,1819,0
5,1616,0
6,1591,0
7,1624,0
8,1660,0
9,1738,0
10,1742,0
11,1652,0
12,1270,0
13,1172,0
14,1422,0
15,1357,0
16,1276,0
17,1095,0
18,772,0
19,630,0
20,640,0
21,690,0
22,865,0
23,1126,0
24,1631,0
25,1508,0
26,1573,0
27,1214,0
28,1747,0
29,1574,0
30,1495,0
31,1713,0
32,1656,0
33,1950,0
34,1692,0
35,1565,0
36,1430,0
37,1264,0
38,1273,0
39,1215,0
40,1185,0
41,978,0
42,761,0
43,609,0
44,630,0
45,676,0
46,843,0
47,1005,0
48,1291,0
49,1397,0
50,1728,0
51,1882,0
52,1632,0
53,1052,0
54,1332,0
55,1519,0
56,1847,0
57,1949,0
58,1811,0
59,1582,0
60,1616,0
61,1793,0
62,1527,0
63,1326,0
64,1202,0
65,1136,0
66,775,0
67,550,0
68,719,0
69,780,0
70,852,0
71,1143,0
72,1255,0
73,1699,0
74,1567,0
75,1215,0
76,1264,0
77,1694,0
78,1687,0
79,1955,0
80,1805,0
81,1941,0
82,1839,0
83,1858,0
84,1764,0
85,1470,0
86,1606,0
87,1459,0
88,1328,0
89,985,0
90,784,0
91,564,0
92,707,0
93,744,0
94,812,0
95,1024,0
96,1371,0
97,1599,0
98,1755,0
99,2022,0
100,1728,0
101,1876,0
102,2022,0
103,2076,0
104,1991,0
105,1921,0
106,1968,0
107,1857,0
108,1691,0
109,1412,0
110,1545,0
111,1398,0
112,1293,0
113,1068,0
114,832,0
115,543,0
116,610,0
117,787,0
118,1022,0
119,1106,0
120,1312,0
121,1527,0
122,1675,0
123,1782,0
124,1828,0
125,1862,0
126,1758,0
127,1801,0
128,1890,0
129,2044,0
130,1768,0
131,1734,0
132,1381,0
133,1487,0
134,1576,0
135,1516,0
136,1389,0
137,1140,0
138,714,0
139,673,0
140,670,0
141,689,0
142,924,0
143,1136,0
144,1290,0
145,1535,0
146,1538,0
147,1783,0
148,1439,0
149,1865,0
150,1640,0
151,1859,0
152,1755,0
153,1978,0
154,1675,0
155,1754,0
156,1747,0
157,1710,0
158,1688,0
159,1182,0
160,1364,0
161,1071,0
162,801,0
163,583,0
164,721,0
165,793,0
166,860,0
167,1240,0
168,1030,0
169,1512,0
170,1562,0
171,1488,0
172,1536,0
173,1703,0
174,1668,0
175,1538,0
176,1553,0
177,1730,0
178,1747,0
179,1439,0
180,1489,0
181,1633,0
182,1504,0
183,1311,0
184,1376,0
185,982,0
186,1013,0
187,632,0
188,525,0
189,644,0
190,736,0
191,948,0
192,1156,0
193,1251,0
194,1428,0
195,1526,0
196,1525,0
197,1370,0
198,1579,0
199,1711,0
200,1723,0
201,1777,0
202,1635,0
203,1624,0
204,1691,0
205,1572,0
206,1421,0
207,1473,0
208,1402,0
209,1040,0
210,733,0
211,560,0
212,752,0
213,824,0
214,957,0
215,1051,0
216,1589,0
217,1494,0
218,1449,0
219,1726,0
220,1871,0
221,1515,0
222,1911,0
223,1736,0
224,1853,0
225,1858,0
226,2070,0
227,1843,0
228,1582,0
229,1532,0
230,1632,0
231,1368,0
232,1342,0
233,974,0
234,759,0
235,571,0
236,721,1
237,756,1
238,872,1
239,764,1
240,2,1
241,6,1
242,20,1
243,14,1
244,11,1
245,11,1
246,15,1
247,9,1
248,5,1
249,13,1
250,13,1
251,34,1
252,26,1
253,8,1
254,11,1
255,18,1
256,31,1
257,22,1
258,11,1
259,16,1
260,6,1
261,3,1
262,0,1
263,1,1
264,2,1
265,7,1
266,13,1
267,14,0
268,5,0
269,59,0
270,21,0
271,19,0
272,17,0
273,12,0
274,14,0
275,18,0
276,12,0
277,23,0
278,43,0
279,11,0
280,44,0
281,24,0
282,4,0
283,9,0
284,12,0
285,9,0
286,1,0
287,3,0
288,7,0
289,14,0
290,13,0
291,23,0
292,6,0
293,18,0
294,4,0
295,19,0
296,11,0
297,19,0
298,15,0
299,18,0
300,19,0
301,45,0
302,7,0
303,17,0
304,38,0
305,14,0
306,23,0
307,7,0
308,10,0
309,2,0
310,1,0
311,5,0
312,3,0
313,11,0
314,15,0
315,18,0
316,14,0
317,8,0
318,14,0
319,33,0
320,11,0
321,13,0
322,25,0
323,27,0
324,19,0
325,16,0
326,20,0
327,30,0
328,20,0
329,24,0
330,5,0
331,15,0
332,5,0
333,7,0
334,3,0
335,4,0
336,2,0
337,21,0
338,21,0
339,9,0
340,17,0
341,23,0
342,22,0
343,17,0
344,13,0
345,27,0
346,15,0
347,24,0
348,6,0
349,26,0
350,40,0
351,10,0
352,18,0
353,14,0
354,6,0
355,7,0
356,10,0
357,12,0
358,5,0
359,4,0
360,14,0
361,9,0
362,14,0
363,7,0
364,19,0
365,26,0
366,13,0
367,12,0
368,9,0
369,19,0
370,31,0
371,14,0
372,22,0
373,5,0
374,8,0
375,37,0
376,13,0
377,16,0
378,19,0
379,9,0
380,3,0
381,5,0
382,3,0
383,12,0
384,8,0
385,10,0
386,22,0
387,7,0
388,12,0
389,15,0
390,4,0
391,5,0
392,13,0
393,18,0
394,12,0
395,19,0
396,20,0
397,47,0
398,25,0
399,24,0
400,18,0
401,10,0
402,10,0
403,7,0
404,7,0
405,4,0
406,8,0
407,4,0
408,7,0
409,21,0
410,10,0
411,18,0
412,14,0
413,11,0
414,8,0
415,12,0
416,24,0
417,17,0
418,12,0
419,14,0
420,19,0
421,23,0
422,9,0
423,20,0
424,25,0
425,34,0
426,11,0
427,6,0
428,4,0
429,7,0
430,0,0
431,3,0
432,9,0
433,16,0
434,18,0
435,26,0
436,21,0
437,33,0
438,16,0
439,20,0
440,5,0
441,31,0
442,9,0
443,7,0
444,11,0
445,20,0
446,22,0
447,20,0
448,19,0
449,21,0
450,8,0
451,2,0
452,5,0
